"anio_censo","presos_totales","presos_ley23737","porcen_ley23737","Presupuesto_anual_SPB","presupuesto_diario_SPB","presupuesto_mensual_SPB","costo_diario_porpreso","costo_mensual_porpreso","costo_23737_diario","costo_23737_mensual","costo_23737_anual"
2018,42460,5025,11.8346679227508,16651913070,45621679.6438356,1387659422.5,1074.46254460282,32233.8763380845,5399174.28662915,161975228.598874,1970698614.61964
2019,45392,5459,12.0263482551992,23417065600,64156344.109589,1951422133.33333,1413.38438732792,42401.5316198377,7715665.37042315,231469961.112695,2816217860.20445
